ID,DESCRIPTION,Attribut1,Additional Feature,Application,Characteristic,Temp,Height,Length in mm,Rating,Material,Code,Joule-integral-Nom (J),LC Risk,Maximum AC Voltage Rating,Maximum DC Voltage Rating,Maximum Power Dissipation,Mounting,Mounting Feature,Number of Terminals,Rated Breaking Capacity (A)
A261,"Indicator 250V 5X20 6.3A Electric Indicator, Fast Blow, 6.3A, 1500A (IR), Supplemental, 5x20mm",NA,NA,NA,FAST,NA,20mm,5.2mm,6.3A,Ceramic,e3,NA,Low,250V,NA,NA,NA,NA,2,1500A
A263,"Indicator Red Fast Movement 0.08A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.8A, 250VAC, 1500A (IR), Inline/holder",Fast,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Motor Circuit,FAST,NA,20mm,5.2mm,0.08A,Ceramic,e3,0.00084J,High,250V,NA,NA,Holder,INLINE/HOLDER,2,1500A
A264,"Indicator Red Fast Movement 0.1A 250V Axial 5 X 20mm Ceramic Bulk CCC/CE/CSA/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.1A, 250VAC, 1200A (IR), Through Hole",Fast,RATED BREAKING CAPACITY AT 250 VAC: 1200 A,Supplementary Protection|Utilization Equipment to Provide Individual Protection,FAST,NA,22.5mm,6mm,0.1A,Ceramic,e3,0.0045J,Med,250V,NA,1.6(Typ)W,Through Hole,THROUGH HOLE,2,1200A
A265,"Indicator Red Fast Movement 0.1A 250V Axial 5 X 20mm Ceramic Bulk CCC/CE/CSA/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.1A, 250VAC, 1500A (IR), Through Hole, 5x20mm",Fast,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Supplementary Protection|Utilization Equipment to Provide Individual Protection,FAST,NA,22.5mm,6mm,0.1A,Ceramic,e3,0.0045J,Low,250V,NA,1.6(Typ)W,Through Hole,THROUGH HOLE,2,1500A
A266,"Indicator Red Fast Movement 0.1A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.1A, 250VAC, 1500A (IR), Inline/holder",Fast,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Motor Circuit,FAST,NA,20mm,5.2mm,0.1A,Ceramic,e3,0.0045J,High,250V,NA,NA,Holder,INLINE/HOLDER,2,1500A
A267,"Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Bulk CE/CSA/PSE/UL/VDE Electric Indicator, Fast Blow, 12.5A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",Fast,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Supplementary Protection|Utilization Equipment to Provide Individual Protection,FAST,NA,20mm,5.2mm,12.5A,Ceramic,e3,235J,Low,250V,NA,4(Typ)W,Holder,INLINE/HOLDER,2,1500A
A268,"Indicator Red Fast Movement 0.125A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.125A, 250VAC, 1500A (IR), Inline/holder",Fast,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Motor Circuit,FAST,NA,20mm,5.2mm,1.25A,Ceramic,e3,0.48J,High,250V,NA,NA,Holder,INLINE/HOLDER,2,1500A
A269,"Indicator Red Fast Movement 0.16A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.16A, 250VAC, 1500A (IR), Inline/holder",Fast,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Motor Circuit,FAST,NA,20mm,5.2mm,0.16A,Ceramic,e3,0.00576J,Med,250V,NA,NA,Holder,INLINE/HOLDER,2,1500A
A270,"Indicator Red Fast Movement 0.2A 250V Holder Plastic 5 X 20mm Ceramic Bulk CCC/CE/CSA/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.2A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",Fast,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Supplementary Protection|Utilization Equipment to Provide Individual Protection,FAST,NA,20mm,5.2mm,0.2A,Ceramic,e3,0.00439J,Low,250V,NA,1.6(Typ)W,Holder,INLINE/HOLDER,2,1500A
A271,"Indicator Red Fast Movement 0.2A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.2A, 250VAC, 1500A (IR), Inline/holder",Fast,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Motor Circuit,FAST,NA,20mm,5.2mm,0.2A,Ceramic,e3,0.00439J,Med,250V,NA,NA,Holder,INLINE/HOLDER,2,1500A
A272,"Indicator Red Fast Movement 0.25A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.25A, 250VAC, 1500A (IR), Supplemental, Inline/holder",Fast,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Motor Circuit,FAST,NA,20mm,5.2mm,0.25A,Ceramic,e3,0.00891J,High,250V,NA,NA,Holder,INLINE/HOLDER,2,1500A
A273,"Indicator Red Fast Movement 0.315A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.315A, 250VAC, 1500A (IR), Supplemental, Inline/holder",Fast,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Motor Circuit,FAST,NA,20mm,5.2mm,3.15A,Ceramic,e3,6.7J,High,250V,NA,NA,Holder,INLINE/HOLDER,2,1500A
A274,"Indicator Red Fast Movement 0.4A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.4A, 250VAC, 1500A (IR), Inline/holder",Fast,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Motor Circuit,FAST,NA,20mm,5.2mm,0.4A,Ceramic,e3,0.04J,High,250V,NA,NA,Holder,INLINE/HOLDER,2,1500A
A275,"Indicator Red Fast Movement 0.5A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.5A, 250VAC, 1500A (IR), Inline/holder",Fast,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Motor Circuit,FAST,NA,20mm,5.2mm,0.5A,Ceramic,e3,0.165J,High,250V,NA,NA,Holder,INLINE/HOLDER,2,1500A
A276,"Indicator Red Fast Movement 0.63A 250V Holder Plastic 5 X 20mm Ceramic Bulk CCC/CE/CSA/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.63A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",Fast,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Supplementary Protection|Utilization Equipment to Provide Individual Protection,FAST,NA,20mm,5.2mm,0.63A,Ceramic,e3,0.175J,Low,250V,NA,2.5(Typ)W,Holder,INLINE/HOLDER,2,1500A
A277,"Indicator Red Fast Movement 0.63A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.63A, 250VAC, 1500A (IR), Inline/holder",Fast,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Motor Circuit,FAST,NA,20mm,5.2mm,0.63A,Ceramic,e3,0.175J,High,250V,NA,NA,Holder,INLINE/HOLDER,2,1500A
A278,"Indicator Red Fast Movement 0.8A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.8A, 250VAC, 1500A (IR), Inline/holder",Fast,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Motor Circuit,FAST,NA,20mm,5.2mm,0.8A,Ceramic,e3,0.285J,High,250V,NA,NA,Holder,INLINE/HOLDER,2,1500A
A279,"Fast, Motor Circuit, 3A, Glass, 5 X 20mm, 250V, Holder, 2.0, 5.2mm, 20mm",Fast,NA,Motor Circuit,NA,NA,5,20,3A,Glass,NA,NA,NA,250V,NA,NA,Holder,NA,2,NA
A280,"Fast, Motor Circuit, 4A, Glass, 5 X 20mm, 250V, Holder, 2.0, 5.2mm, 20mm",Fast,NA,Motor Circuit,NA,NA,5,20,4A,Glass,NA,NA,NA,250V,NA,NA,Holder,NA,2,NA
A281,"Fast, Motor Circuit, 5A, Glass, 5 X 20mm, 250V, Holder, 2.0, 5.2mm, 20mm",Fast,NA,Motor Circuit,NA,NA,5,20,5A,Glass,NA,NA,NA,250V,NA,NA,Holder,NA,2,NA
A282,"Fast, Motor Circuit, 8A, Glass, 5 X 20mm, 250V, Holder, 2.0, 5.2mm, 20mm",Fast,NA,Motor Circuit,NA,NA,5,20,8A,Glass,NA,NA,NA,250V,NA,NA,Holder,NA,2,NA
A283,"Fast, Motor Circuit, 10A, Glass, 5 X 20mm, 250V, Holder, 2.0, 5.2mm, 20mm",Fast,NA,Motor Circuit,NA,NA,5,20,10A,Glass,NA,NA,NA,250V,NA,NA,Holder,NA,2,NA
A284,"Fast, Motor Circuit, 1.5A, Glass, 5 X 20mm, 250V, Holder, 2.0, 5.2mm, 20mm",Fast,NA,Motor Circuit,NA,NA,5,20,1.5A,Glass,NA,NA,NA,250V,NA,NA,Holder,NA,2,NA
A285,"Fast, Supplementary Protection|Utilization Equipment to Provide Individual Protection, 1.6A, Glass, 5 X 20mm, 250V, 1.6(Typ)W, Holder, 2.0, 5.2mm, 20mm",Fast,NA,Supplementary Protection|Utilization Equipment to Provide Individual Protection,NA,NA,5,20,1.6A,Glass,NA,NA,NA,250V,NA,1.6(Typ)W,Holder,NA,2,NA
A286,"Indicator Red Fast Movement 0.2A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.2A, 250VAC, 250VDC, 35A (IR), Inline/holder, 5x20mm",Fast,RATED BREAKING CAPACITY AT 250 VDC: 35 A,Supplementary Protection|Utilization Equipment to Provide Individual Protection,FAST,NA,20mm,5.2mm,0.2A,Glass,e3,0.02J,Low,250V,250VDC,1.6(Typ)W,Holder,INLINE/HOLDER,2,35A
A287,"Indicator Red Fast Movement 0.25A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.25A, 250VAC, 250VDC, 35A (IR), Inline/holder, 5x20mm",Fast,RATED BREAKING CAPACITY AT 250 VDC: 35 A,Supplementary Protection|Utilization Equipment to Provide Individual Protection,FAST,NA,20mm,5.2mm,0.25A,Glass,e3,0.04J,Low,250V,250VDC,1.6(Typ)W,Holder,INLINE/HOLDER,2,35A
A288,"Indicator Red Fast Movement 0.5A 250V Holder Plastic 5 X 20mm Glass Bulk BSI/CCC/CE/CSA/KC/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.5A, 250VAC, 250VDC, 35A (IR), Inline/holder, 5x20mm",Fast,RATED BREAKING CAPACITY AT 250 VDC: 35 A,Supplementary Protection|Utilization Equipment to Provide Individual Protection,FAST,NA,20mm,5.2mm,0.5A,Glass,NA,0.215J,Low,250V,250VDC,1.6(Typ)W,Holder,INLINE/HOLDER,2,35A
A289,"Fast, Supplementary Protection|Utilization Equipment to Provide Individual Protection, 0.5A, Glass, 5 X 20mm, 250V, 1.6(Typ)W, Holder, 2.0, 5.2mm, 20mm",Fast,NA,Supplementary Protection|Utilization Equipment to Provide Individual Protection,NA,NA,5,20,0.5A,Glass,NA,NA,NA,250V,NA,1.6(Typ)W,Holder,NA,2,NA
A290,"Fast, Motor Circuit, 0.6A, Glass, 5 X 20mm, 250V, Holder, 2.0, 5.2mm, 20mm",Fast,NA,Motor Circuit,NA,NA,5,20,0.6A,Glass,NA,NA,NA,250V,NA,NA,Holder,NA,2,NA
A291,Indicator Red Fast Movement 0.8A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/SEMKO/UL/VDE ELECTRIC Indicator,Fast,NA,Supplementary Protection|Utilization Equipment to Provide Individual Protection,NA,NA,5,20,0.8A,Glass,NA,NA,Low,250V,NA,1.6(Typ)W,Holder,NA,2,NA
A292,"Indicator Red Fast Movement 0.8A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.8A, 250VAC, 250VDC, 35A (IR), Inline/holder, 5x20mm",Fast,RATED BREAKING CAPACITY AT 250 VDC: 35 A,Supplementary Protection|Utilization Equipment to Provide Individual Protection,FAST,NA,20mm,5.2mm,0.8A,Glass,e3,0.85J,Low,250V,250VDC,1.6(Typ)W,Holder,INLINE/HOLDER,2,35A
A293,"Indicator Red Slow Blow Movement 1A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 1A, 250VAC, 35A (IR), Supplemental, Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 250 VAC: 35 A,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,1A,Glass,NA,6.73J,Low,250V,NA,1.6(Typ)W,Holder,INLINE/HOLDER,2,35A
A294,"Indicator Red Slow Blow Movement 1A 250V Holder Axial Melf 5 X 20mm Glass T/R Automotive CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 1A, 35A (IR), Supplemental, 5x20mm",Slow Blow,NA,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,20mm,1A,Glass,NA,NA,Low,250V,NA,1.6(Typ)W,Holder,NA,2,35A
A295,"Indicator Red Slow Blow Movement 2A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 2A, 250VAC, 35A (IR), Supplemental, Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 250 VAC: 35 A,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,2A,Glass,e3,14.45J,Low,250V,NA,1.6(Typ)W,Holder,INLINE/HOLDER,2,35A
A296,"Indicator Red Slow Blow Movement 2A 250V Holder Axial Melf 5 X 20mm Glass T/R Automotive CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 2A, 35A (IR), Supplemental, 5x20mm",Slow Blow,NA,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,20mm,2A,Glass,NA,NA,Low,250V,NA,1.6(Typ)W,Holder,NA,2,35A
A297,"Indicator Red Slow Blow Movement 4A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 4A, 250VAC, 40A (IR), Supplemental, Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 250 VAC: 40 A,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,4A,Glass,NA,69.1J,Low,250V,NA,1.6(Typ)W,Holder,INLINE/HOLDER,2,40A
A298,"Indicator Red Slow Blow Movement 4A 250V Holder Axial Melf 5 X 20mm Glass T/R Automotive CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 4A, 40A (IR), Supplemental, 5x20mm",Slow Blow,NA,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,4A,Glass,NA,NA,Low,250V,NA,1.6(Typ)W,Holder,NA,2,40A
A299,"Indicator Red Slow Blow Movement 5A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 5A, 250VAC, 50A (IR), Supplemental, Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 250 VAC: 50 A,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,5A,Glass,NA,111J,Low,250V,NA,1.6(Typ)W,Holder,INLINE/HOLDER,2,50A
A300,"Slow Blow, Supplementary Protection|Utilization Equipment to Provide Individual Protection, 5A, Glass, 5 X 20mm, 250V, 1.6(Typ)W, Holder, 2.0, 4.7mm, 20mm",Slow Blow,NA,Supplementary Protection|Utilization Equipment to Provide Individual Protection,NA,NA,5,20,5A,Glass,NA,NA,NA,250V,NA,1.6(Typ)W,Holder,NA,2,NA
A301,"Indicator Red Slow Blow Movement 8A 250V Holder Plastic 5 X 20mm Glass Bulk CE/CSA/KC/PSE/UL/VDE Electric Indicator, Time Lag Blow, 8A, 250VAC, 80A (IR), Supplemental, Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 250 VAC: 80 A,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,8A,Glass,NA,341.5J,Low,250V,NA,4(Typ)W,Holder,INLINE/HOLDER,2,80A
A302,"Indicator Red Slow Blow Movement 8A 250V Holder Axial Melf 5 X 20mm Glass T/R Automotive CE/CSA/KC/PSE/UL/VDE Electric Indicator, Time Lag Blow, 8A, 80A (IR), Supplemental, 5x20mm",Slow Blow,NA,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,8A,Glass,e3,NA,Low,250V,NA,4(Typ)W,Holder,NA,2,80A
A303,"Indicator Red Slow Blow Movement 10A 250V Holder Plastic 5 X 20mm Glass Bulk CE/CSA/KC/PSE/UL/VDE Electric Indicator, Time Lag Blow, 10A, 250VAC, 100A (IR), Supplemental, Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 250 VAC: 100 A,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,10A,Glass,NA,568J,Low,250V,NA,4(Typ)W,Holder,INLINE/HOLDER,2,100A
A304,"Indicator Red Slow Blow Movement 10A 250V Holder Axial Melf 5 X 20mm Glass T/R Automotive CE/CSA/KC/PSE/UL/VDE Electric Indicator, Time Lag Blow, 10A, 100A (IR), Supplemental, 5x20mm",Slow Blow,NA,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,10A,Glass,e3,NA,Low,250V,NA,4(Typ)W,Holder,NA,2,100A
A305,"Slow Blow, Motor Circuit, 15A, Glass, 5 X 20mm, 250V, 1.6W, Holder, 2.0, 4.7mm, 20mm",Slow Blow,NA,Motor Circuit,NA,NA,5,20,15A,Glass,NA,NA,NA,250V,NA,1.6W,Holder,NA,2,NA
A306,"Indicator Red Slow Blow Movement 1.6A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 1.6A, 250VAC, 35A (IR), Supplemental, Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 250 VAC: 35 A,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,1.6A,Glass,NA,23.35J,Low,250V,NA,1.6(Typ)W,Holder,INLINE/HOLDER,2,35A
A307,"Indicator Red Slow Blow Movement 1.6A 250V Holder Axial Melf 5 X 20mm Glass T/R Automotive CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 1.6A, 35A (IR), Supplemental, 5x20mm",Slow Blow,NA,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,1.6A,Glass,e3,NA,Low,250V,NA,1.6W,Holder,NA,2,35A
A308,"Indicator Red Slow Blow Movement 2.5A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 35A (IR), Inline/holder",Slow Blow,RATED BREAKING CAPACITY AT 250 VAC: 35 A,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,2.5A,Glass,NA,23.25J,Low,250V,NA,1.6(Typ)W,Holder,INLINE/HOLDER,2,35A
A309,"Indicator Red Slow Blow Movement 2.5A 250V Holder Axial Melf 5 X 20mm Glass T/R Automotive CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 2.5A, 35A (IR), Supplemental, 5x20mm",Slow Blow,NA,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,2.5A,Glass,e3,NA,Low,250V,NA,1.6(Typ)W,Holder,NA,2,35A
A310,"Slow Blow, Motor Circuit, 0.032A, Glass, 5 X 20mm, 250V, Holder, 2.0, 4.7mm, 20mm",Slow Blow,NA,Motor Circuit,NA,NA,5,20,0.032A,Glass,NA,NA,NA,250V,NA,NA,Holder,NA,2,NA
A311,"Slow Blow, Motor Circuit, 0.04A, Glass, 5 X 20mm, 250V, 1.6W, Holder, 2.0, 4.7mm, 20mm",Slow Blow,NA,Motor Circuit,NA,NA,5,20,0.04A,Glass,NA,NA,NA,250V,NA,1.6W,Holder,NA,2,NA
A312,"Indicator Red Slow Blow Movement 0.05A 250V Holder Axial Melf 5 X 20mm Glass Bulk CCC/CE/CSA/KC/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 0.05A, 35A (IR), Supplemental, 5x20mm",Slow Blow,NA,Motor Circuit,TIME LAG,NA,20mm,5.2mm,0.05A,Glass,e3,NA,Low,250V,NA,1.6W,Holder,NA,2,35A
A313,"Indicator Red Slow Blow Movement 6.3A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 63A (IR), Supplemental, Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 250 VAC: 63 A,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,6.3A,Glass,NA,198.5J,Low,250V,NA,1.6(Typ)W,Holder,INLINE/HOLDER,2,63A
A314,"Indicator Red Slow Blow Movement 6.3A 250V Holder Axial Melf 5 X 20mm Glass T/R Automotive CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 6.3A, 63A (IR), Supplemental, 5x20mm",Slow Blow,NA,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,0.063A,Glass,e3,NA,Low,250V,NA,1.6(Typ)W,Holder,NA,2,63A
A315,"Slow Blow, Supplementary Protection|Utilization Equipment to Provide Individual Protection, 0.08A, Glass, 5 X 20mm, 250V, Holder, 2.0, 4.7mm, 20mm",Slow Blow,NA,Supplementary Protection|Utilization Equipment to Provide Individual Protection,NA,NA,5,20,0.08A,Glass,NA,NA,NA,250V,NA,NA,Holder,NA,2,NA
A316,"Indicator Red Slow Blow Movement 0.1A 250V Holder Axial Melf 5 X 20mm Glass T/R CCC/CE/CSA/KC/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 0.1A, 35A (IR), Supplemental, 5x20mm",Slow Blow,NA,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,0.1A,Glass,e3,NA,Low,250V,NA,1.6(Typ)W,Holder,NA,2,35A
A317,"Indicator Red Slow Blow Movement 0.125A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 0.125A, 250VAC, 35A (IR), Supplemental, Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 250 VAC: 35 A,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,0.125A,Glass,NA,0.1465J,Low,250V,NA,1.6(Typ)W,Holder,INLINE/HOLDER,2,35A
A318,"Indicator Red Slow Blow Movement 0.125A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 0.125A, 250VAC, 35A (IR), Supplemental, Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 250 VAC: 35 A,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,0.125A,Glass,NA,0.1465J,Low,250V,NA,1.6(Typ)W,Holder,INLINE/HOLDER,2,35A
A319,"Indicator Red Slow Blow Movement 0.125A 250V Holder Axial Melf 5 X 20mm Glass T/R CCC/CE/CSA/KC/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 0.125A, 35A (IR), Supplemental, 5x20mm",Slow Blow,NA,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,0.125A,Glass,e3,NA,Low,250V,NA,1.6W,Holder,NA,2,35A
A320,"Indicator Red Slow Blow Movement 0.2A 250V Holder Axial Melf 5 X 20mm Glass Bulk CCC/CE/CSA/KC/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 0.2A, 35A (IR), Supplemental, 5x20mm",Slow Blow,NA,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,0.2A,Glass,e3,NA,Low,250V,NA,1.6W,Holder,NA,2,35A
A321,"Indicator Red Slow Blow Movement 0.25A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 0.25A, 250VAC, 35A (IR), Supplemental, Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 250 VAC: 35 A,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,0.25A,Glass,NA,0.5405J,Low,250V,NA,1.6(Typ)W,Holder,INLINE/HOLDER,2,35A
A322,"Indicator Red Slow Blow Movement 0.25A 250V Holder Axial Melf 5 X 20mm Glass T/R CCC/CE/CSA/KC/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 0.25A, 35A (IR), Supplemental, 5x20mm",Slow Blow,NA,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,0.25A,Glass,e3,NA,Low,250V,NA,1.6(Typ)W,Holder,NA,2,35A
A323,"Slow Blow, Supplementary Protection|Utilization Equipment to Provide Individual Protection, 0.25A, Glass, 5 X 20mm, 250V, 1.6(Typ)W, Holder, 2.0, 5.2mm, 20mm",Slow Blow,NA,Supplementary Protection|Utilization Equipment to Provide Individual Protection,NA,NA,5,20,0.25A,Glass,NA,NA,NA,250V,NA,1.6(Typ)W,Holder,NA,2,NA
A324,"Indicator Red Slow Blow Movement 3.15A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 3.15A, 250VAC, 35A (IR), Supplemental, Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 250 VAC: 35 A,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,3.15A,Glass,NA,38.15J,Low,250V,NA,1.6(Typ)W,Holder,INLINE/HOLDER,2,35A
A325,"Indicator Red Slow Blow Movement 3.15A 250V Holder Axial Melf 5 X 20mm Glass T/R Automotive CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 0.315A, 35A (IR), Supplemental, 5x20mm",Slow Blow,NA,Supplementary Protection|Utilization Equipment to Provide Individual Protection,TIME LAG,NA,20mm,5.2mm,0.315A,Glass,e3,NA,Low,250V,NA,1.6(Typ)W,Holder,NA,2,35A
